level,time,message
Info,38:29.8,Application has started
Info,39:41.2,Application has started
Info,45:21.5,Application has started
Info,45:42.0,Application has started
Info,46:07.5,Application has started
Info,46:34.5,Application has started
Info,01:19.4,Application has started
Info,02:19.2,Application has started
Info,04:04.3,Application has started
Info,03:39.9,Application has started
Debug,03:45.2,Enter to Home Page
Info,05:52.6,Application has started
Debug,05:55.9,Enter to Home Page
Info,06:26.1,Application has started
Debug,06:30.3,Enter to Home Page
Info,17:11.1,Application has started
Debug,17:15.7,Enter to Home Page
Info,17:50.1,Application has started
Debug,17:54.6,Enter to Home Page
Info,31:27.9,Application has started
Debug,31:33.9,Enter to Home Page
Info,47:43.4,Application has started
Info,48:33.6,Application has started
Debug,49:00.5,Enter to Home Page
Debug,49:53.9,Enter to Home Page
Info,50:48.1,Application has started
Debug,50:52.7,Enter to Home Page
Debug,51:01.6,Enter to Home Page
Debug,51:37.8,Enter to Home Page
Info,2016-10-13 22:40:52.8217,Application has started
Debug,2016-10-13 22:40:55.7760,Enter to Home Page
Info,2016-10-13 22:41:37.3764,Application has started
Debug,2016-10-13 22:41:41.5478,Enter to Home Page
Info,2016-10-13 23:01:57.5617,Application has started
Debug,2016-10-13 23:02:00.5300,Enter to Home Page
Debug,2016-10-13 23:02:11.2241,Enter to Home Page
Debug,2016-10-13 23:02:40.4190,Enter to Home Page
Debug,2016-10-13 23:04:01.9361,Enter to Home Page
Debug,2016-10-13 23:04:18.1297,Enter to Home Page
Debug,2016-10-13 23:07:02.1731,Enter to Home Page
Debug,2016-10-13 23:07:12.8152,Enter to Home Page
Info,2016-10-13 23:09:51.6551,Application has started
Debug,2016-10-13 23:09:56.7416,Enter to Home Page
Debug,2016-10-13 23:10:04.1743,Enter to Home Page
Debug,2016-10-13 23:10:11.1530,Enter to Home Page
Debug,2016-10-13 23:10:12.5582,Enter to Home Page
Info,2016-10-13 23:11:39.0588,Application has started
Debug,2016-10-13 23:11:44.2053,Enter to Home Page
Debug,2016-10-13 23:12:18.6958,Enter to Home Page
Info,2016-10-13 23:22:16.8236,Application has started
Debug,2016-10-13 23:22:20.3049,Enter to Home Page
Debug,2016-10-13 23:22:30.8860,Enter to Home Page
Debug,2016-10-13 23:23:01.6821,Enter to Home Page
Debug,2016-10-13 23:23:03.0882,Enter to Home Page
Info,2016-10-14 12:27:31.8322,Application has started
Debug,2016-10-14 12:27:35.0315,Enter to Home Page
Error,2016-10-14 12:27:49.2569,Invalid credentials are passed
Error,2016-10-14 12:27:52.6253,Invalid credentials are passed
Debug,2016-10-14 12:28:02.7563,Enter to Home Page
Info,2016-10-14 12:28:31.0201,Application has started
Debug,2016-10-14 12:28:35.6056,Enter to Home Page
Info,2016-10-14 12:51:24.9601,Application has started
Info,2016-10-14 13:06:10.9027,Application has started
Debug,2016-10-14 13:06:14.9811,Enter to Home Page
